t, c	M(t), נאה	E(t), נאה	Theta(t), נאה	Vp, (ךל/ס)	Vr, (ךל/c)	V, (ךלc)	r (ךל)
0	0	0	0	7.66609	0	7.66609	6786
1	0.00112853	0.00112911	0.00112969	7.66609	4.46211e-06	7.66609	6786
2	0.00225706	0.00225822	0.00225938	7.66609	8.92421e-06	7.66609	6786
3	0.00338558	0.00338733	0.00338907	7.66609	1.33863e-05	7.66609	6786
4	0.00451411	0.00451644	0.00451877	7.66609	1.78484e-05	7.66609	6786
5	0.00564264	0.00564555	0.00564846	7.66609	2.23104e-05	7.66609	6786
6	0.00677117	0.00677466	0.00677815	7.66609	2.67725e-05	7.66609	6786
7	0.00789969	0.00790377	0.00790784	7.66609	3.12344e-05	7.66609	6786
8	0.00902822	0.00903288	0.00903753	7.66609	3.56964e-05	7.66609	6786
9	0.0101567	0.010162	0.0101672	7.66609	4.01583e-05	7.66609	6786
10	0.0112853	0.0112911	0.0112969	7.66609	4.46201e-05	7.66609	6786
11	0.0124138	0.0124202	0.0124266	7.66609	4.90819e-05	7.66609	6786
12	0.0135423	0.0135493	0.0135563	7.66609	5.35437e-05	7.66609	6786
13	0.0146709	0.0146784	0.014686	7.66609	5.80053e-05	7.66609	6786
14	0.0157994	0.0158075	0.0158157	7.66609	6.24669e-05	7.66609	6786
15	0.0169279	0.0169366	0.0169454	7.66609	6.69284e-05	7.66609	6786
16	0.0180564	0.0180657	0.0180751	7.66609	7.13899e-05	7.66609	6786
17	0.019185	0.0191949	0.0192048	7.66609	7.58512e-05	7.66609	6786
18	0.0203135	0.020324	0.0203345	7.66609	8.03124e-05	7.66609	6786
19	0.021442	0.0214531	0.0214641	7.66609	8.47736e-05	7.66609	6786
20	0.0225706	0.0225822	0.0225938	7.66609	8.92346e-05	7.66609	6786
21	0.0236991	0.0237113	0.0237235	7.66609	9.36955e-05	7.66609	6786
22	0.0248276	0.0248404	0.0248532	7.66609	9.81563e-05	7.66609	6786
23	0.0259561	0.0259695	0.0259829	7.66609	0.000102617	7.66609	6786
24	0.0270847	0.0270986	0.0271126	7.66609	0.000107078	7.66609	6786
25	0.0282132	0.0282277	0.0282423	7.66609	0.000111538	7.66609	6786
26	0.0293417	0.0293568	0.029372	7.66609	0.000115998	7.66609	6786
27	0.0304702	0.030486	0.0305017	7.66609	0.000120458	7.66609	6786
28	0.0315988	0.0316151	0.0316314	7.66609	0.000124918	7.66609	6786
29	0.0327273	0.0327442	0.0327611	7.66609	0.000129378	7.66609	6786
30	0.0338558	0.0338733	0.0338908	7.66609	0.000133838	7.66609	6786
31	0.0349844	0.0350024	0.0350204	7.66609	0.000138297	7.66609	6786
32	0.0361129	0.0361315	0.0361501	7.66609	0.000142756	7.66609	6786
33	0.0372414	0.0372606	0.0372798	7.66609	0.000147216	7.66609	6786
34	0.0383699	0.0383897	0.0384095	7.66609	0.000151674	7.66609	6786
35	0.0394985	0.0395188	0.0395392	7.66609	0.000156133	7.66609	6786
36	0.040627	0.0406479	0.0406689	7.66609	0.000160592	7.66609	6786
37	0.0417555	0.0417771	0.0417986	7.66609	0.00016505	7.66609	6786
38	0.0428841	0.0429062	0.0429283	7.66609	0.000169508	7.66609	6786
39	0.0440126	0.0440353	0.044058	7.66609	0.000173966	7.66609	6786
40	0.0451411	0.0451644	0.0451877	7.66609	0.000178424	7.66609	6786
41	0.0462696	0.0462935	0.0463174	7.66609	0.000182881	7.66609	6786
42	0.0473982	0.0474226	0.047447	7.66608	0.000187338	7.66608	6786
43	0.0485267	0.0485517	0.0485767	7.66608	0.000191795	7.66608	6786
44	0.0496552	0.0496808	0.0497064	7.66608	0.000196252	7.66608	6786
45	0.0507837	0.0508099	0.0508361	7.66608	0.000200708	7.66608	6786
46	0.0519123	0.051939	0.0519658	7.66608	0.000205165	7.66608	6786
47	0.0530408	0.0530681	0.0530955	7.66608	0.000209621	7.66608	6786
48	0.0541693	0.0541973	0.0542252	7.66608	0.000214076	7.66608	6786.01
49	0.0552979	0.0553264	0.0553549	7.66608	0.000218532	7.66608	6786.01
50	0.0564264	0.0564555	0.0564846	7.66608	0.000222987	7.66608	6786.01
51	0.0575549	0.0575846	0.0576143	7.66608	0.000227442	7.66608	6786.01
52	0.0586834	0.0587137	0.0587439	7.66608	0.000231896	7.66608	6786.01
53	0.059812	0.0598428	0.0598736	7.66608	0.00023635	7.66608	6786.01
54	0.0609405	0.0609719	0.0610033	7.66608	0.000240804	7.66608	6786.01
55	0.062069	0.062101	0.062133	7.66608	0.000245258	7.66608	6786.01
56	0.0631975	0.0632301	0.0632627	7.66608	0.000249711	7.66608	6786.01
57	0.0643261	0.0643592	0.0643924	7.66608	0.000254164	7.66608	6786.01
58	0.0654546	0.0654883	0.0655221	7.66608	0.000258617	7.66608	6786.01
59	0.0665831	0.0666174	0.0666518	7.66608	0.000263069	7.66608	6786.01
60	0.0677117	0.0677466	0.0677815	7.66608	0.000267521	7.66608	6786.01
61	0.0688402	0.0688757	0.0689111	7.66608	0.000271973	7.66608	6786.01
62	0.0699687	0.0700048	0.0700408	7.66608	0.000276424	7.66608	6786.01
63	0.0710972	0.0711339	0.0711705	7.66608	0.000280875	7.66608	6786.01
64	0.0722258	0.072263	0.0723002	7.66608	0.000285326	7.66608	6786.01
65	0.0733543	0.0733921	0.0734299	7.66608	0.000289776	7.66608	6786.01
66	0.0744828	0.0745212	0.0745596	7.66608	0.000294226	7.66608	6786.01
67	0.0756114	0.0756503	0.0756893	7.66608	0.000298676	7.66608	6786.01
68	0.0767399	0.0767794	0.076819	7.66608	0.000303125	7.66608	6786.01
69	0.0778684	0.0779085	0.0779487	7.66608	0.000307574	7.66608	6786.01
70	0.0789969	0.0790376	0.0790783	7.66608	0.000312022	7.66608	6786.01
71	0.0801255	0.0801667	0.080208	7.66608	0.00031647	7.66608	6786.01
72	0.081254	0.0812959	0.0813377	7.66608	0.000320917	7.66608	6786.01
73	0.0823825	0.082425	0.0824674	7.66608	0.000325365	7.66608	6786.01
74	0.083511	0.0835541	0.0835971	7.66608	0.000329811	7.66608	6786.01
75	0.0846396	0.0846832	0.0847268	7.66608	0.000334258	7.66608	6786.01
76	0.0857681	0.0858123	0.0858565	7.66607	0.000338703	7.66607	6786.01
77	0.0868966	0.0869414	0.0869862	7.66607	0.000343149	7.66607	6786.01
